Title: ECSA-b1588YfJDrDO54g77DE4xswFOxy4BlPn Detailed Results


Section: Benchmark Information
Name     Value
-----    -------------
RunId    b1588YfJDrDO54g77DE4xswFOxy4BlPn.19N


Section: WebDriver Throughput
Display: Line
Time (s)  createOrder  basket  getCatalogue  getItem  getCart  login  getOrders  catalogue   home  tags  getCustomer  viewOrdersPage  cataloguePage  getRelated  addToCart  catalogueSize  getAddress  getCard  showDetails
460              0.80    1.40          5.80     5.80    14.80   1.20       1.80       1.40   6.00  1.60         7.40            1.60           2.00        3.60       0.80           1.80        0.80     0.80         2.80
465              0.40    0.40          8.00     5.80    14.20   1.40       1.20       2.60   5.60  2.20         7.20            1.20           1.20        2.40       0.60           2.40        1.40     1.20         2.80
470              1.20    0.60          8.40     6.60    17.40   1.20       1.00       2.80   7.60  2.00         8.00            2.00           2.80        2.80       0.60           2.40        0.60     0.80         2.40
475              0.60    0.60          6.00     6.40     9.00   0.80       1.60       1.80   5.00  3.20         6.40            0.80           2.80        1.80       0.60           2.60        1.00     1.20         2.60
480              0.60    0.80          4.40     3.60     9.60   1.40       0.80       1.00   3.60  1.00         4.40            1.00           1.40        2.40       0.60           0.80        1.00     0.80         1.80
485              1.20    0.40          5.00     4.80     9.80   0.60       1.40       1.00   3.00  1.00         5.00            1.40           1.00        1.60       0.40           0.80        0.40     0.20         1.80
490              0.60    1.00          4.80     5.80    15.60   2.60       1.60       0.80   6.60  1.00         8.80            1.60           1.00        3.60       1.40           1.20        0.40     0.60         4.60
495              1.40    1.00          8.40     7.40    19.00   1.60       1.80       3.00   7.20  2.40         9.00            2.00           2.20        4.40       1.60           2.40        0.80     1.20         3.60
500              0.60    1.60          9.40     6.80    16.60   1.80       1.40       2.40   7.20  2.00         7.40            1.00           1.80        3.80       0.40           2.80        1.20     1.00         2.20
505              1.00    1.40          8.80     7.20    15.40   2.00       1.80       1.80   7.80  2.40         7.60            2.20           2.40        3.60       1.00           1.60        1.60     1.40         2.80
510              1.40    0.20          7.20     5.80    12.80   1.80       1.60       1.40   6.20  2.00         7.40            2.00           2.00        1.60       1.00           1.80        0.80     0.60         3.80
